                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2295,                 2.3859,                 2.3906,                 1.3757,                0.43026,                0.50993,                0.41268,                0.23292,                0.44846,                0.49007,                0.40654,                0.22967,                 1.3733,                 2.2329,                 2.2801,                 1.5879,             0.00066396,             0.00066396,             0.00066396
                      2,                 1.4101,                 2.4551,                 2.3102,                 1.5351,                0.52311,                0.45782,                0.44545,                 0.2684,                0.52453,                0.45906,                0.43666,                0.25391,                 1.3091,                  2.407,                 2.3881,                 1.5739,              0.0013043,              0.0013043,              0.0013043
                      3,                 1.4339,                 2.6341,                 2.2279,                 1.5621,                0.50934,                0.43672,                0.43599,                0.26116,                0.51078,                0.43797,                0.42535,                0.25118,                 1.4137,                 2.6432,                  2.247,                 1.6685,              0.0019182,              0.0019182,              0.0019182
                      4,                 1.4788,                 2.5765,                 2.1828,                 1.5831,                0.50229,                0.39692,                0.40117,                0.19987,                0.49287,                0.38948,                0.37486,                0.18877,                 1.4878,                 2.7536,                 2.6294,                 1.7478,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.4712,                 2.5931,                 2.0781,                  1.564,                0.60455,                 0.5062,                0.54669,                0.34159,                0.59805,                0.48635,                  0.514,                0.31054,                 1.3688,                   2.42,                 2.0304,                 1.6085,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.4915,                 2.5307,                 2.0853,                 1.6195,                0.46089,                0.53226,                0.44884,                0.24422,                0.46283,                0.51526,                0.43801,                0.22526,                 1.5255,                 2.4152,                 2.1106,                 1.7715,               0.001802,               0.001802,               0.001802
                      7,                 1.4452,                    2.5,                 2.0574,                  1.584,                0.57026,                 0.4665,                0.52752,                0.32431,                 0.5733,                0.46898,                0.52025,                0.30819,                 1.2902,                 2.4431,                 2.1292,                 1.5358,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.4643,                 2.5589,                 2.0278,                  1.579,                0.58541,                0.58313,                0.58064,                0.37677,                0.58806,                0.56853,                0.55774,                0.32937,                  1.233,                 2.2326,                 1.7987,                 1.4642,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.3422,                  2.299,                  1.824,                 1.4991,                0.67224,                0.49504,                0.58903,                0.39251,                0.63844,                0.50169,                0.57189,                0.36905,                 1.2484,                 2.0407,                 1.6543,                 1.5075,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.2928,                  2.315,                 1.8322,                 1.4567,                0.62489,                0.52481,                0.58709,                0.38409,                0.61224,                0.51365,                0.57471,                0.35379,                 1.2081,                 2.1486,                 1.6758,                 1.4664,              0.0016436,              0.0016436,              0.0016436
                     11,                  1.278,                 2.2196,                 1.7889,                 1.4539,                0.64046,                 0.6129,                 0.6638,                0.45899,                0.63815,                0.60828,                 0.6512,                0.43508,                 1.1313,                 1.9252,                 1.4567,                 1.3889,               0.001604,               0.001604,               0.001604
                     12,                 1.2603,                 2.2381,                 1.6955,                 1.4339,                0.63268,                0.63275,                0.66075,                  0.439,                0.63653,                0.61924,                0.65589,                0.41555,                  1.128,                 1.9633,                 1.4438,                 1.3971,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.2384,                 2.2084,                 1.7073,                 1.4019,                0.67138,                0.65385,                0.69749,                0.49727,                0.67011,                0.65261,                0.68883,                 0.4631,                 1.0362,                 1.9415,                 1.3787,                 1.3152,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.2359,                 2.1615,                 1.6498,                 1.4007,                0.66952,                0.67866,                0.71772,                0.49332,                0.69959,                0.65385,                0.71214,                0.46394,                 1.0876,                  1.866,                 1.3117,                 1.3567,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.1719,                 2.0461,                 1.5713,                 1.3568,                0.67774,                0.68734,                0.73711,                0.51722,                0.69255,                0.67911,                0.73478,                0.48421,                 1.0367,                 1.8251,                 1.2859,                 1.2884,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.1939,                 2.0512,                 1.5729,                 1.3637,                0.66097,                0.70347,                0.75314,                0.54276,                0.68313,                0.67618,                0.74751,                0.49319,                 1.0177,                 1.8361,                 1.3191,                 1.2832,               0.001406,               0.001406,               0.001406
                     17,                 1.1727,                 2.1106,                 1.5421,                 1.3653,                 0.6818,                0.65012,                0.72238,                0.52146,                0.70447,                0.64268,                0.72144,                0.48906,                 1.0239,                 1.7712,                 1.2911,                 1.2868,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.1324,                 1.9353,                 1.4663,                 1.3201,                0.67806,                0.72645,                0.75195,                0.53811,                0.69158,                0.69831,                0.74059,                0.51288,                  1.005,                 1.6829,                 1.2219,                 1.2839,              0.0013268,              0.0013268,              0.0013268
                     19,                  1.134,                 1.9238,                 1.4707,                 1.3324,                0.72025,                0.67866,                0.76651,                 0.5699,                0.72621,                0.67742,                 0.7649,                0.52295,                0.96216,                 1.7139,                 1.1722,                 1.2628,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.1307,                  1.951,                 1.5105,                 1.3314,                0.70901,                0.72855,                0.77506,                 0.5819,                0.71126,                0.73201,                0.77339,                0.54781,                0.94887,                 1.5636,                 1.1527,                 1.2279,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.1218,                 1.8991,                 1.4182,                 1.3236,                0.73892,                 0.7304,                  0.807,                0.60016,                0.74005,                0.73077,                0.80526,                0.57319,                0.92632,                 1.5262,                 1.1055,                  1.214,               0.001208,               0.001208,               0.001208
                     22,                 1.1126,                 1.8735,                 1.3922,                 1.2978,                0.76588,                0.74318,                0.81581,                0.60662,                0.76296,                0.74069,                0.81562,                0.57628,                0.90596,                 1.5706,                 1.1009,                  1.196,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.0551,                 1.8175,                 1.3686,                  1.274,                0.74615,                0.74442,                0.81705,                0.61352,                0.76454,                0.73821,                0.81967,                0.57657,                0.90777,                 1.5197,                 1.0479,                  1.188,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.0588,                 1.7429,                 1.3416,                 1.2822,                0.73256,                0.73697,                0.79317,                0.59403,                0.73934,                0.72953,                0.79157,                0.57027,                0.91124,                 1.4782,                 1.0953,                 1.2115,              0.0010892,              0.0010892,              0.0010892
                     25,                0.99771,                 1.7024,                 1.2715,                 1.2489,                0.73552,                0.77289,                0.80949,                0.61378,                0.74208,                0.76034,                0.80766,                0.58023,                0.87154,                 1.4281,                 1.0496,                 1.1664,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.0729,                 1.8449,                 1.3522,                 1.2866,                0.77709,                0.77419,                0.83705,                0.64715,                0.78332,                 0.7804,                0.84147,                 0.6024,                0.84543,                  1.469,                 1.0588,                 1.1479,                0.00101,                0.00101,                0.00101
                     27,                0.99359,                 1.7545,                 1.2967,                 1.2278,                0.76878,                0.78908,                 0.8495,                 0.6716,                0.77001,                0.78924,                0.85049,                0.62768,                0.79594,                   1.37,                0.92414,                 1.1084,              0.0009704,              0.0009704,              0.0009704
                     28,                0.95597,                 1.6322,                 1.2219,                 1.2011,                0.76798,                0.77295,                0.84772,                0.66558,                0.77044,                0.77543,                 0.8485,                0.62018,                0.78781,                 1.3749,                 1.0343,                 1.1011,              0.0009308,              0.0009308,              0.0009308
